,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
1893,Chayanon Kaewsuto,M,1995.0,R,2701.6666666666665,1,5,THA,79.66666666666667,1668.5,2017.0,0.45375457875457875,0.4609375599841184,1.8333333333333333,0.09890396260049072,6,Winter,2017.0,Hard,16
1894,Chayenne Ewijk,F,1988.0,R,3103.4,48,22,NED,,564.9285714285714,2017.0,,,,,70,Summer,2016.0,Clay,68
1895,Chelsea Fontenel,F,,U,5249.0,0,1,SUI,,,2021.0,,,,,1,,,,0
1896,Chelsea Kung,F,2000.0,U,2933.125,3,5,USA,65.0,,2019.0,0.4166666666666667,0.32,0.0,0.06,8,Summer,2019.0,Clay,37
1897,Chelsea May Samways,F,1998.0,R,3214.3333333333335,0,6,GBR,,,2016.0,,,,,6,,,,0
1898,Chelsea Vanhoutte,F,1999.0,U,3251.4770642201834,44,65,BEL,,1070.2,2021.0,,,,,109,Summer,2019.0,Clay,40
1899,Chen Ezra,F,,U,2917.0,1,1,ISR,,,2021.0,,,,,2,Summer,2021.0,Hard,50
1900,Chen Liang,F,1989.0,R,3076.3333333333335,1,2,CHN,,622.0,2016.0,,,,,3,Summer,2016.0,Hard,33
1901,Cheng Peng Hsieh,M,1991.0,R,4202.074074074074,6,21,TPE,71.03703703703704,1440.3076923076924,2019.0,0.5581160292698754,0.5494265667121553,4.333333333333333,0.10557880686380343,27,Summer,2016.0,Hard,22
1902,Cheng Yu Yu,M,1995.0,R,3487.230769230769,2,11,TPE,80.0,689.6666666666666,2019.0,0.5617183742183742,0.6155903708545927,6.0,0.026328152149474447,13,Summer,2017.0,Hard,15
1903,Chengyiyi Yuan,F,2000.0,U,3181.230769230769,27,38,CHN,,737.1818181818181,2019.0,,,,,65,Summer,2019.0,Hard,41
1904,Chengze Lu,M,1998.0,U,1720.0,1,3,CHN,70.0,,2017.0,0.4375,0.4910750102713912,3.0,0.0693394524944114,4,Winter,2017.0,Hard,25
1905,Cheong Eui Kim,M,1990.0,R,3775.8875,35,45,KOR,89.175,412.53246753246754,2019.0,0.5731307234432235,0.6044250684210705,3.325,0.032111220895593956,80,Winter,2016.0,Hard,43
1906,Cheri Darley,F,,U,3749.2,2,3,GBR,,,2021.0,,,,,5,Winter,2020.0,Hard,40
1907,Cherise Slocombe,F,1997.0,U,204.66666666666666,0,3,BAR,83.0,,2017.0,0.4259259259259259,0.43978229405836305,1.6666666666666667,0.06748846302484712,3,,,,0
1908,Cherry Kim,F,2000.0,U,3475.423076923077,11,15,KOR,,1063.25,2019.0,,,,,26,Summer,2019.0,Hard,42
1909,Cheyenne Biancheri,F,1996.0,U,3347.0,0,1,USA,,,2016.0,,,,,1,,,,0
1910,Chhinda Som,F,,R,2876.0,1,2,CAM,,,2019.0,,,,,3,Winter,2019.0,Hard,33
1911,Chi Chi Scholl,F,1992.0,R,3301.429104477612,157,111,USA,40.0,434.64179104477614,2021.0,0.45454545454545453,0.34210526315789475,2.0,0.2894736842105263,268,Summer,2017.0,Clay,58
1912,Chia Jung Chuang,F,1985.0,R,2871.25,2,2,TPE,84.0,746.0,2017.0,0.3656968031968032,0.5126782351358623,0.75,0.09492982692135234,4,Summer,2017.0,Clay,50
1913,Chiaki Takamatsu,F,1996.0,U,3257.0,0,1,JPN,,,2018.0,,,,,1,,,,0
1914,Chiara Alesiani,F,,U,2327.0,1,2,ITA,,,2019.0,,,,,3,Summer,2019.0,Clay,33
1915,Chiara Arcangeli,F,1996.0,U,3062.0,0,1,ITA,,,2018.0,,,,,1,,,,0
1916,Chiara Bordo,F,1999.0,U,3078.157894736842,11,8,ITA,,,2021.0,,,,,19,Summer,2019.0,Clay,57
1917,Chiara Calicchia,F,,R,2946.0,0,6,GER,,,2019.0,,,,,6,,,,0
1918,Chiara Catini,F,1999.0,R,3262.835294117647,44,41,ITA,,1105.8490566037735,2021.0,,,,,85,Summer,2021.0,Hard,51
1919,Chiara De Vito,F,1997.0,U,3452.076923076923,4,9,ITA,,1232.0,2018.0,,,,,13,Summer,2018.0,Clay,30
1920,Chiara Desia Dabarno,F,2002.0,U,3167.0,2,5,ARG,,,2021.0,,,,,7,Summer,2018.0,Clay,28
1921,Chiara Di Genova,F,2003.0,U,2818.8,1,4,ARG,,,2021.0,,,,,5,Winter,2018.0,Hard,20
1922,Chiara Di Tommaso,F,2002.0,U,3414.0,5,5,AUS,,,2020.0,,,,,10,Winter,2019.0,Hard,50
1923,Chiara Fermi,F,2001.0,U,3499.5,0,2,ITA,,,2018.0,,,,,2,,,,0
1924,Chiara Fiorenza,F,,U,3063.6666666666665,0,3,ARG,,,2019.0,,,,,3,,,,0
1925,Chiara Fornasieri,F,,U,3568.0,4,6,ITA,,,2021.0,,,,,10,Summer,2021.0,Clay,40
1926,Chiara Frapolli,F,1996.0,R,3264.6285714285714,12,23,SUI,,1015.9705882352941,2017.0,,,,,35,Winter,2016.0,Clay,34
1927,Chiara Gerbino,F,2001.0,U,2070.0,0,1,ITA,,,2019.0,,,,,1,,,,0
1928,Chiara Giaquinta,F,1999.0,R,3516.6,0,5,ITA,,,2018.0,,,,,5,,,,0
1929,Chiara Girelli,F,2002.0,U,2890.032258064516,11,20,ITA,,,2021.0,,,,,31,Winter,2020.0,Hard,35
1930,Chiara Grimm,F,1997.0,R,3148.8521739130433,58,57,SUI,150.0,707.1058823529412,2020.0,0.5,0.5555555555555556,2.0,0.09401709401709402,115,Summer,2016.0,Clay,50
1931,Chiara Lazzari,F,,U,4393.0,0,1,ITA,,,2021.0,,,,,1,,,,0
1932,Chiara Lommer,F,1998.0,L,3761.8,3,2,USA,,,2018.0,,,,,5,Summer,2018.0,Clay,60
1933,Chiara Merico,F,1998.0,U,3074.222222222222,2,7,SUI,,,2019.0,,,,,9,Summer,2019.0,Clay,22
1934,Chiara Pusceddu,F,1998.0,U,2638.0,1,1,ITA,,,2016.0,,,,,2,Summer,2016.0,Clay,50
1935,Chiara Quattrone,F,1994.0,R,2804.75,2,10,ITA,,,2018.0,,,,,12,Winter,2016.0,Clay,16
1936,Chiara Tomasetti,F,,U,3484.0,3,1,DEU,,,2021.0,,,,,4,Summer,2021.0,Clay,75
1937,Chie Kezuka,F,2000.0,R,3420.9,4,6,JPN,,,2019.0,,,,,10,Summer,2018.0,Hard,40
1938,Chieh Yu Hsu,F,1992.0,L,3068.097046413502,109,128,USA,93.75,420.47679324894517,2021.0,0.49461489898989897,0.4581132201131687,0.75,0.06759110452474594,237,Summer,2017.0,Hard,45
1939,Chien Hsun Lo,M,1998.0,U,4360.961538461538,11,15,TPE,92.04,787.8846153846154,2019.0,0.6110606060606061,0.6031691491166437,3.92,0.05189693767581911,26,Summer,2018.0,Hard,42
1940,Chih Chi Huang,M,2001.0,R,2132.0,0,1,CAN,77.0,,2018.0,0.45454545454545453,0.49206349206349204,4.0,0.015873015873015872,1,,,,0
1941,Chiharu Kobayashi,F,,U,4240.0,0,1,JPN,,,2019.0,,,,,1,,,,0
1942,Chihiro Muramatsu,F,1998.0,U,3465.122171945701,113,108,JPN,126.24,385.0995475113122,2021.0,0.46130158730158727,0.5288690973937371,0.2,0.03292496776756745,221,Winter,2019.0,Hard,51
1943,Chihiro Nunome,F,1992.0,U,3148.4666666666667,5,10,JPN,,703.6,2016.0,,,,,15,Summer,2016.0,Grass,33
1944,Chihiro Takayama,F,1991.0,R,3236.813953488372,12,31,JPN,,1122.6666666666667,2021.0,,,,,43,Summer,2019.0,Clay,27
1945,Chiho Mushika,F,2001.0,U,2916.0,0,1,JPN,,,2018.0,,,,,1,,,,0
1946,Chin Wei Chan,F,1984.0,R,3085.7391304347825,10,13,TPE,85.0,980.3809523809524,2018.0,0.6337719298245614,0.4958691910499139,2.0,0.060929432013769366,23,Summer,2017.0,Hard,43
1947,Chinatsu Shimizu,F,1994.0,U,3054.846153846154,5,8,JPN,,,2019.0,,,,,13,Winter,2018.0,Clay,38
1948,Ching Lam,M,2000.0,R,406.0,0,1,HKG,,,2020.0,,,,,1,,,,0
1949,Ching Wen Hsu,F,1996.0,R,3183.1794871794873,54,63,TPE,71.4,448.3859649122807,2019.0,0.3162097162097162,0.5060491351603001,1.3,0.05084750315021989,117,Summer,2016.0,Hard,46
1950,Chiraz Bechri,F,1998.0,U,3054.8032786885246,74,109,TUN,72.28571428571429,825.9655172413793,2021.0,0.5269230769230769,0.5026771185652302,0.2857142857142857,0.03655831629920246,183,Summer,2018.0,Clay,40
1951,Chisa Hosonuma,F,1996.0,U,3057.6481481481483,24,30,JPN,,999.5666666666667,2020.0,,,,,54,Winter,2019.0,Hard,44
1952,Chloe Beck,F,2001.0,R,3593.6666666666665,1,5,USA,,,2019.0,,,,,6,Summer,2018.0,Clay,16
1953,Chloe Cirotte,F,2001.0,U,3023.7272727272725,5,6,FRA,,,2021.0,,,,,11,Summer,2021.0,Clay,45
1954,Chloe Compson,F,2002.0,U,3114.181818181818,0,11,GBR,,990.3333333333334,2020.0,,,,,11,,,,0
1955,Chloe Hamlin,F,2000.0,R,3342.0,0,1,USA,,,2018.0,,,,,1,,,,0
1956,Chloe Henderson,F,,U,3158.0,0,1,USA,,,2020.0,,,,,1,,,,0
1957,Chloe Isabella Tsang,F,2003.0,U,3084.0,4,11,AUS,,,2019.0,,,,,15,Winter,2019.0,Clay,26
1958,Chloe Julia Goyette,F,1998.0,U,2916.0,0,1,USA,,,2018.0,,,,,1,,,,0
1959,Chloe Noel,F,,U,2809.6,12,8,FRA,,,2021.0,,,,,20,Summer,2021.0,Clay,60
1960,Chloe Paquet,F,1994.0,R,3893.2438162544167,134,149,FRA,99.57534246575342,252.24381625441697,2021.0,0.5005239095593786,0.5585724092421622,3.76,0.07639640366074502,283,Summer,2018.0,Clay,47
1961,Chloe Weekes,F,2003.0,U,154.5,0,2,BAR,,,2019.0,,,,,2,,,,0
1962,Chompoothip Jandakate,F,1995.0,U,3060.3026315789475,36,40,THA,72.0,844.2676056338029,2020.0,0.2611111111111111,0.5450749323298343,0.3333333333333333,0.08605664488017428,76,Summer,2019.0,Hard,47
1963,Choyeon Kang,F,,U,3583.6666666666665,0,3,KOR,,,2019.0,,,,,3,,,,0
1964,Chris Harrison,M,1976.0,U,2627.0,0,1,USA,60.0,,2018.0,0.6,0.46808510638297873,1.0,0.0425531914893617,1,,,,0
1965,Chris Wettengel,M,1981.0,R,6837.0,0,1,USA,56.0,1605.0,2019.0,0.2,0.5333333333333333,1.0,0.1111111111111111,1,,,,0
1966,Chrisjan Van Wyk,M,,R,1867.0,0,1,RSA,70.0,1597.0,2020.0,0.5,0.547945205479452,2.0,0.0958904109589041,1,,,,0
1967,Christian Harrison,M,1994.0,R,4894.574803149606,65,62,USA,100.93103448275862,364.33870967741933,2021.0,0.5898512314624847,0.6092602788656944,4.880341880341881,0.036042007302133736,127,Summer,2018.0,Hard,51
1968,Christian Hirschmueller,M,1992.0,R,4336.75,1,3,GER,96.75,894.0,2019.0,0.6547619047619047,0.5897271684609326,8.25,0.05996960309151622,4,Winter,2018.0,Hard,25
1969,Christian Lakoseljac,M,1998.0,U,4306.5,0,2,CAN,73.5,,2017.0,0.5852272727272727,0.5232786885245901,5.0,0.09918032786885246,2,,,,0
1970,Christian Langmo,M,1996.0,U,6384.0,0,2,USA,68.0,569.0,2019.0,0.5,0.5769230769230769,4.0,0.1346153846153846,2,,,,0
1971,Christian Lindell,M,1991.0,R,3838.7619047619046,33,51,SWE,99.64,342.79761904761904,2021.0,0.5644928047952655,0.5922898307953297,3.8518518518518516,0.05220657812708842,84,Summer,2017.0,Clay,39
1972,Christian Oliveira,M,1999.0,U,3513.3333333333335,0,3,BRA,83.0,1733.5,2017.0,0.5291666666666667,0.5708571587573216,2.0,0.03472599023331525,3,,,,0
1973,Christian Samuelsson,M,1995.0,U,3145.75,2,2,SWE,78.0,1765.0,2017.0,0.5879120879120879,0.5999634502923977,9.333333333333334,0.09247076023391813,4,Summer,2017.0,Clay,50
1974,Christian Seraphim,M,1995.0,U,4022.0,1,3,GER,76.5,1414.0,2018.0,0.605952380952381,0.6508414231781987,9.0,0.04692514514133435,4,Winter,2018.0,Hard,25
1975,Christian Sigsgaard,M,1997.0,R,318.5,2,2,DEN,97.5,,2019.0,0.6477272727272727,0.6576825127334465,3.0,0.051570458404074704,4,Winter,2016.0,Carpet,50
1976,Christian Voinea,M,1980.0,U,3502.0,0,1,ROU,61.0,,2016.0,0.5,0.4186046511627907,2.0,0.09302325581395349,1,,,,0
1977,Christie Agugbom,F,1982.0,U,2472.0,0,1,NGR,,,2016.0,,,,,1,,,,0
1978,Christina Mchale,F,1992.0,R,5945.7793103448275,146,144,USA,105.64367816091954,84.27931034482759,2021.0,0.5243098742356248,0.5553992348453963,2.2547528517110265,0.05394470269032468,290,Summer,2016.0,Hard,50
1979,Christina Rosca,F,1997.0,U,2610.0,21,10,USA,,1230.2857142857142,2021.0,,,,,31,Summer,2021.0,Clay,67
1980,Christina Schoener,F,1999.0,R,4252.0,0,1,GER,,,2016.0,,,,,1,,,,0
1981,Christina Shakovets,F,1994.0,R,3218.1463414634145,15,26,GER,,1110.142857142857,2019.0,,,,,41,Summer,2016.0,Hard,36
1982,Christina Wolfgruber,F,1997.0,U,2821.0,2,9,AUT,,,2017.0,,,,,11,Summer,2016.0,Clay,18
1983,Christine Gouws,F,,U,2584.0,2,2,RSA,,,2021.0,,,,,4,Summer,2021.0,Hard,50
1984,Christine Kruger,F,,U,2882.6666666666665,0,3,RSA,,,2021.0,,,,,3,,,,0
1985,Christine Maddox,F,1996.0,R,3091.0,0,1,USA,,,2018.0,,,,,1,,,,0
1986,Christoffer Konigsfeldt,M,1989.0,R,396.0,0,1,DEN,79.0,,2018.0,0.7,0.5588235294117647,4.0,0.014705882352941176,1,,,,0
1987,Christoffer Solberg,M,1994.0,U,3238.0,2,2,SWE,65.0,1192.5,2018.0,0.7857142857142857,0.655944211601016,1.75,0.03232700491488852,4,Summer,2016.0,Clay,50
1988,Christoph Negritu,M,1994.0,R,3397.4,2,3,GER,71.2,623.4,2021.0,0.5873684210526317,0.5719400251489803,4.6,0.031116122683286857,5,Summer,2018.0,Clay,40
1989,Christophe Tholl,M,1995.0,U,501.0,0,2,LUX,59.0,,2018.0,0.5,0.5070288753799392,2.5,0.03742401215805471,2,,,,0
1990,Christopher Diaz Figueroa,M,1990.0,R,1965.6666666666667,10,11,GUA,103.94736842105263,615.4285714285714,2018.0,0.6823369091226235,0.6054244244113745,4.619047619047619,0.06992406650254826,21,Summer,2017.0,Hard,47
1991,Christopher Eubanks,M,1996.0,R,5335.347368421053,99,91,USA,89.68131868131869,277.2736842105263,2021.0,0.6170024583259878,0.6679120809303726,10.353260869565217,0.05885099866771752,190,Summer,2018.0,Hard,52
1992,Christopher G Haworth,M,1993.0,U,3704.0,0,1,USA,58.0,1354.0,2018.0,0.5714285714285714,0.5686274509803921,1.0,0.058823529411764705,1,,,,0
1993,Christopher Heyman,M,1993.0,U,3953.9302325581393,17,26,BEL,92.51162790697674,377.51162790697674,2021.0,0.5704335594960595,0.6168873687915658,4.953488372093023,0.039826503487067184,43,Winter,2017.0,Hard,39
1994,Christopher Li,M,2003.0,R,2549.0,0,1,PER,90.0,,2020.0,0.625,0.5517241379310345,1.0,0.10344827586206896,1,,,,0
1995,Christopher O'Connell,M,1994.0,R,5464.5609756097565,89,75,AUS,96.74683544303798,238.325,2021.0,0.5848615223471049,0.6342436134417602,5.732919254658385,0.030642460770855036,164,Winter,2019.0,Hard,54
1996,Christopher Rosensteel,M,1991.0,U,2802.0,0,1,USA,82.0,1676.0,2017.0,0.3333333333333333,0.5606060606060606,2.0,0.10606060606060606,1,,,,0
1997,Christopher Rungkat,M,1989.0,R,2952.8928571428573,12,16,INA,79.42307692307692,538.8888888888889,2020.0,0.557992784992785,0.589151307336586,2.1153846153846154,0.04200047032136029,28,Winter,2016.0,Hard,42
1998,Chu Huan Yi,M,1987.0,L,3639.6428571428573,5,9,TPE,88.5,844.8,2018.0,0.6671316778459636,0.6043666926245715,8.714285714285714,0.10064376376345978,14,Winter,2016.0,Hard,35
1999,Chu Ni Wang,F,,U,3481.0,0,1,CHN,,,2019.0,,,,,1,,,,0
2000,Chuhan Wang,M,1992.0,R,3733.4,7,23,CHN,82.6896551724138,652.8571428571429,2019.0,0.4714550774895602,0.5444510818299683,3.066666666666667,0.057048430933188905,30,Summer,2016.0,Hard,23
2001,Chui Kei Leung,F,,U,3204.0,0,1,HKG,,,2019.0,,,,,1,,,,0
2002,Chukang Wang,M,1999.0,U,5488.833333333333,0,6,CHN,81.83333333333333,1141.25,2019.0,0.43333333333333335,0.4692121827557399,0.6666666666666666,0.058060990544543174,6,,,,0
2003,Chun Hsin Tseng,M,2001.0,R,5251.595959595959,51,48,TPE,101.30927835051547,358.64285714285717,2021.0,0.5262653395986729,0.6179479326975168,2.642857142857143,0.03660541054938939,99,Summer,2019.0,Hard,51
2004,Chun Hun Wong,M,1996.0,R,436.0,0,2,HKG,81.0,978.0,2018.0,0.775,0.6581501831501831,2.0,0.02554945054945055,2,,,,0
2005,Chun Yan He,F,1983.0,L,2933.6666666666665,0,3,CHN,,1156.0,2016.0,,,,,3,,,,0
2006,Chung Han Tsai,M,1998.0,U,3296.0,0,1,TPE,95.0,,2016.0,0.6428571428571429,0.5568181818181818,2.0,0.022727272727272728,1,,,,0
2007,Chung Hyo Woo,M,1994.0,U,3231.6,0,5,KOR,57.2,1903.2,2016.0,0.3743589743589743,0.3873231250983421,0.6,0.11591905644223825,5,,,,0
2008,Chunxi Xin,F,1999.0,U,4346.0,0,1,CHN,,,2017.0,,,,,1,,,,0
2009,Chyara Onia Seke,F,,U,1930.0,0,1,BEL,,,2021.0,,,,,1,,,,0
2010,Ciara O Toole,F,,U,4008.0,0,1,IRL,,,2019.0,,,,,1,,,,0
2011,Cindy Burger,F,1992.0,R,3432.445945945946,129,93,NED,91.72,305.72072072072075,2021.0,0.4574002349403419,0.536600821477125,2.52,0.07867218531191844,222,Summer,2016.0,Clay,58
2012,Cindy Castille,F,1998.0,U,3380.076923076923,9,17,FRA,,1130.8823529411766,2017.0,,,,,26,Winter,2016.0,Hard,34
2013,Cing Yang Meng,M,1998.0,U,3736.0,1,2,TPE,51.0,1002.6666666666666,2018.0,0.1875,0.5277777777777778,0.5,0.025,3,Summer,2017.0,Hard,33
2014,Claire Chan,F,,U,2766.0,0,2,SGP,,,2019.0,,,,,2,,,,0
2015,Claire Feuerstein,F,1986.0,L,4188.75,14,14,FRA,82.0,637.6071428571429,2016.0,0.6071428571428571,0.6229604370983275,2.25,0.05750468413225631,28,Winter,2016.0,Hard,50
2016,Claire Liu,F,2000.0,R,5010.0737327188945,125,92,USA,105.9625,271.47926267281105,2021.0,0.5301101913722911,0.5446885456788958,2.35,0.049473135696353886,217,Summer,2021.0,Hard,57
2017,Claire Verwerda,F,1997.0,U,3106.8888888888887,2,7,NED,,,2017.0,,,,,9,Summer,2016.0,Clay,22
2018,Clara Burel,F,2001.0,R,5081.1238095238095,63,42,FRA,100.9,384.74074074074076,2021.0,0.5273862972957996,0.5414360715509672,2.2,0.0732850441337146,105,Summer,2021.0,Hard,60
2019,Clara Froget,F,2000.0,U,3135.3333333333335,1,5,FRA,,,2017.0,,,,,6,Winter,2016.0,Hard,16
2020,Clara Tauson,F,2003.0,R,3801.5555555555557,124,38,DEN,96.34,261.0220588235294,2021.0,0.5885136510744648,0.5951549776777789,2.9,0.04578620344965868,162,Winter,2019.0,Hard,76
2021,Clara Vlasselaer,F,2001.0,U,3136.721153846154,55,49,BEL,,1038.375,2021.0,,,,,104,Summer,2021.0,Hard,52
2022,Clarine Lerby,F,,U,2966.4444444444443,3,6,NED,,,2021.0,,,,,9,Winter,2020.0,Clay,33
2023,Clarissa Blomqvist,F,,U,4059.0,1,1,FIN,,,2021.0,,,,,2,Summer,2021.0,Clay,50
2024,Clarissa Gai,F,1998.0,U,2829.4166666666665,9,15,ITA,,1275.0,2019.0,,,,,24,Summer,2019.0,Clay,37
2025,Clarisse Aussert,F,,U,3378.3333333333335,1,2,FRA,,,2021.0,,,,,3,Summer,2021.0,Hard,33
2026,Claudia Bartolome Ortiz,F,1999.0,U,3769.0,0,2,ESP,,,2016.0,,,,,2,,,,0
2027,Claudia Borbon Roca,F,,U,2923.0,0,1,ESP,,,2019.0,,,,,1,,,,0
2028,Claudia Cecilia Rosas Garcia,F,,U,3128.0,0,1,MEX,,,2016.0,,,,,1,,,,0
2029,Claudia Cianci,F,1996.0,U,3374.0,5,31,POR,,1186.5925925925926,2019.0,,,,,36,Summer,2016.0,Clay,13
2030,Claudia Coppola,F,1995.0,R,3242.0625,18,62,ITA,68.33333333333333,870.9444444444445,2020.0,0.35714285714285715,0.44153447485178493,1.0,0.051598549435410646,80,Summer,2016.0,Hard,22
2031,Claudia De Las Heras Armenteras,F,2003.0,U,3151.6363636363635,6,5,ESP,,,2021.0,,,,,11,Summer,2021.0,Clay,54
2032,Claudia Franze,F,1990.0,R,3050.1190476190477,13,29,ITA,,1141.0,2019.0,,,,,42,Summer,2016.0,Clay,30
2033,Claudia Gaspar,F,1995.0,R,3151.4444444444443,5,13,POR,,1061.0,2018.0,,,,,18,Summer,2017.0,Carpet,27
2034,Claudia Giovine,F,1990.0,R,3153.586592178771,106,73,ITA,99.0,559.9720670391062,2020.0,0.4444444444444444,0.47619047619047616,4.0,0.09523809523809523,179,Summer,2016.0,Clay,59
2035,Claudia Herrero Garcia Honorato,F,1995.0,U,3392.0,0,1,ESP,,,2016.0,,,,,1,,,,0
2036,Claudia Hoste Ferrer,F,1998.0,U,3175.103626943005,99,94,ESP,,743.3064516129032,2021.0,,,,,193,Summer,2018.0,Clay,51
2037,Claudia Marcela Silva Aragon,F,1990.0,U,2999.8333333333335,0,6,COL,,,2019.0,,,,,6,,,,0
2038,Claudia Martinez De Velasco,F,,U,2647.5,3,5,ESP,,,2021.0,,,,,8,Summer,2021.0,Carpet,37
2039,Claudia Pastor Sancho,F,,U,3331.0,0,1,ESP,,,2020.0,,,,,1,,,,0
2040,Claudia Paulina Lopez,F,1997.0,U,4099.0,0,1,MEX,,,2016.0,,,,,1,,,,0
2041,Claudia Sanchez Quesada,F,,U,2840.9166666666665,3,9,ESP,,,2021.0,,,,,12,Summer,2021.0,Clay,25
2042,Claudia Williams,F,1996.0,U,3081.3478260869565,4,19,NZL,134.0,1240.4,2018.0,0.5,0.47413793103448276,3.0,0.08620689655172414,23,Summer,2016.0,Hard,17
2043,Claudine Schaul,F,1983.0,R,105.0,0,1,LUX,89.0,,2017.0,0.5833333333333334,0.4264705882352941,0.0,0.07352941176470588,1,,,,0
2044,Claudio Fortuna,M,1990.0,L,3329.8333333333335,1,5,ITA,103.5,605.3333333333334,2018.0,0.4080687830687831,0.5499753252087592,1.6666666666666667,0.040887473179172774,6,Summer,2016.0,Clay,16
2045,Clay Thompson,M,1992.0,R,3188.090909090909,12,10,USA,80.95454545454545,439.45454545454544,2016.0,0.5030018227386648,0.6441414292406867,7.2272727272727275,0.07314588462802085,22,Summer,2016.0,Hard,54
2046,Cleeve Harper,M,2001.0,U,6682.0,0,1,CAN,160.0,1440.0,2020.0,0.16666666666666666,0.5865384615384616,1.0,0.0673076923076923,1,,,,0
2047,Clemence Fayol,F,1994.0,R,3373.936842105263,50,45,FRA,,711.7272727272727,2019.0,,,,,95,Summer,2016.0,Hard,52
2048,Clement Chidekh,M,2001.0,U,4341.0,0,1,FRA,56.0,,2016.0,0.5,0.4807692307692308,0.0,0.07692307692307693,1,,,,0
2049,Clement Dorsemaine,M,1990.0,R,3537.0,0,1,FRA,95.0,,2016.0,0.5,0.6746987951807228,10.0,0.012048192771084338,1,,,,0
2050,Clement Geens,M,1996.0,R,3321.7833333333333,28,32,BEL,81.11666666666666,369.26666666666665,2018.0,0.510264435077496,0.565799286286152,3.7333333333333334,0.058612875692424835,60,Summer,2016.0,Clay,46
2051,Clement Larriere,M,1997.0,R,3333.5,0,2,FRA,85.5,1314.5,2018.0,0.675,0.5635162601626016,1.0,0.02693089430894309,2,,,,0
2052,Clement Tabur,M,1999.0,U,4282.75,1,3,FRA,63.5,1179.6666666666667,2019.0,0.6055555555555555,0.5659285464709993,2.25,0.02174740441249875,4,Winter,2018.0,Hard,25
2053,Clervie Ngounoue,F,,U,3716.0,2,3,USA,,,2021.0,,,,,5,Summer,2021.0,Clay,40
2054,Clothilde De Bernardi,F,1994.0,R,3275.0588235294117,60,42,FRA,,683.0760869565217,2021.0,,,,,102,Summer,2017.0,Clay,58
2055,Clotilde Cobianchi,F,,U,2379.0,0,1,ITA,,,2021.0,,,,,1,,,,0
2056,Coco Bosman,F,,U,2872.0,1,5,NED,,,2021.0,,,,,6,Summer,2021.0,Clay,16
2057,Coco Vandeweghe,F,1991.0,R,6289.593023255814,93,79,USA,95.69620253164557,108.3546511627907,2021.0,0.5686987902448428,0.6107986028555308,5.6455696202531644,0.06792151962690601,172,Summer,2017.0,Hard,54
2058,Colin Sinclair,M,1994.0,U,5616.884615384615,9,17,AUS,86.57692307692308,569.8076923076923,2020.0,0.46000432900432897,0.6104231999741092,5.115384615384615,0.0351268367386821,26,Winter,2018.0,Hard,34
2059,Colin Van Beem,M,1992.0,U,3072.25,1,3,NED,52.5,846.75,2016.0,0.34226190476190477,0.4377730644178013,0.5,0.03428651866151866,4,Summer,2016.0,Clay,25
2060,Collin Altamirano,M,1995.0,R,5413.0,33,43,USA,94.88,372.5394736842105,2021.0,0.5792822809744647,0.6050208940439469,4.4605263157894735,0.0357746956280607,76,Summer,2019.0,Hard,43
2061,Collin Johns,M,1993.0,U,2938.75,1,3,USA,85.0,1104.75,2017.0,0.3125,0.5550036180518636,1.0,0.054481215665426186,4,Summer,2016.0,Hard,25
2062,Cong Tien Le,M,1995.0,U,3062.0,0,1,VIE,81.0,,2016.0,0.7692307692307693,0.5466666666666666,2.0,0.013333333333333334,1,,,,0
2063,Cong Ying Zhao,F,,U,3365.7272727272725,5,6,CHN,,,2019.0,,,,,11,Summer,2019.0,Clay,45
2064,Congsup Congcar,M,1997.0,U,3949.0,0,11,THA,82.0,1422.2,2020.0,0.48807556080283343,0.500559883801464,1.4545454545454546,0.04625559833683684,11,,,,0
2065,Conner Huertas Del Pino,M,1995.0,U,3673.2,2,3,PER,85.2,941.8,2020.0,0.5162393162393162,0.5835560554037199,4.4,0.02609432110974653,5,Winter,2018.0,Clay,40
2066,Connie Ma,F,2003.0,U,3358.6315789473683,12,7,USA,,713.9375,2019.0,,,,,19,Summer,2019.0,Hard,63
2067,Connor Farren,M,1994.0,R,3638.4210526315787,5,14,USA,89.78947368421052,913.4444444444445,2021.0,0.4730739939073273,0.5716054565028145,4.894736842105263,0.07180584169365818,19,Summer,2016.0,Hard,26
2068,Connor Smith,M,1991.0,U,3879.6153846153848,2,11,USA,94.36363636363636,277.2307692307692,2016.0,0.4634411884411885,0.5504197946370571,3.5,0.05557859779138191,13,Summer,2016.0,Hard,15
2069,Connor Thomson,M,2001.0,U,3053.0,0,1,GBR,69.0,,2018.0,0.5,0.6065573770491803,5.0,0.09836065573770492,1,,,,0
2070,Conny Perrin,F,1991.0,R,3869.690476190476,189,147,SUI,92.39240506329114,206.65178571428572,2021.0,0.5222833654111935,0.5806974369119527,2.9625,0.04544694071705453,336,Winter,2017.0,Hard,56
2071,Conor Berg,M,1992.0,U,4092.0,0,1,USA,58.0,1158.0,2018.0,0.6,0.5098039215686274,4.0,0.0392156862745098,1,,,,0
2072,Constance Branstine,F,,R,2774.8571428571427,3,4,USA,,,2021.0,,,,,7,Summer,2021.0,Hard,42
