,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
8945,Sumvruta Iyengar,F,,R,2850.285714285714,0,7,USA,,,2021.0,,,,,7,,,,0
8946,Sun Bin Kim,F,1999.0,U,3356.5,1,3,KOR,,,2019.0,,,,,4,Summer,2019.0,Hard,25
8947,Sun Min Ha,F,,U,2480.0,1,0,KOR,,,2020.0,,,,,1,Winter,2020.0,Clay,100
8948,Sunae Ji,F,1997.0,U,3267.5555555555557,3,6,KOR,45.0,1225.0,2019.0,0.45454545454545453,0.2647058823529412,0.0,0.0,9,Summer,2016.0,Hard,33
8949,Sunam Jeong,F,1996.0,U,3171.2727272727275,79,42,KOR,100.85714285714286,560.099173553719,2019.0,0.4248711605854463,0.4864957342008225,0.5714285714285714,0.02651541504536988,121,Summer,2019.0,Hard,65
8950,Sundet Nagimetov,M,1999.0,U,3772.0,0,1,KAZ,51.0,,2018.0,0.4,0.30952380952380953,0.0,0.19047619047619047,1,,,,0
8951,Sung Hee Han,F,1990.0,R,3376.277777777778,30,24,KOR,92.0,592.8823529411765,2018.0,0.4444444444444444,0.4925373134328358,0.0,0.05970149253731343,54,Summer,2016.0,Hard,55
8952,Sung Hee Kim,F,1994.0,U,3298.3846153846152,3,10,KOR,,1156.2727272727273,2019.0,,,,,13,Summer,2016.0,Hard,23
8953,Sung Hun Kim,M,1995.0,U,3293.0,0,1,KOR,61.0,,2017.0,0.7142857142857143,0.47540983606557374,0.0,0.03278688524590164,1,,,,0
8954,Sung Jun Park,M,1994.0,U,3238.0,0,2,KOR,55.5,,2018.0,0.37142857142857144,0.3627694859038143,1.0,0.05016583747927031,2,,,,0
8955,Sung Min Han,M,1995.0,U,3600.0,0,1,KOR,67.0,,2017.0,0.3333333333333333,0.42,0.0,0.08,1,,,,0
8956,Supapitch Kuearum,F,2002.0,U,3249.6363636363635,16,28,THA,,1136.304347826087,2020.0,,,,,44,Summer,2019.0,Hard,36
8957,Suraj Beniwal,M,1994.0,U,2935.0,1,1,IND,72.0,1896.0,2016.0,0.45,0.6325925925925926,3.0,0.04925925925925926,2,Winter,2016.0,Hard,50
8958,Suraj R Prabodh,M,1994.0,R,3711.153846153846,2,11,IND,79.15384615384616,1202.6923076923076,2020.0,0.4323815073815073,0.5186807205943176,1.9230769230769231,0.0323733033563331,13,Summer,2016.0,Hard,15
8959,Suren Vartanyan,M,1989.0,U,2050.0,0,1,RUS,51.0,1857.0,2016.0,0.2857142857142857,0.42592592592592593,0.0,0.018518518518518517,1,,,,0
8960,Suryaningsih Suryaningsih,F,1996.0,R,3230.0,0,1,INA,,,2018.0,,,,,1,,,,0
8961,Susan Bandecchi,F,1998.0,U,3486.9875518672197,140,101,SUI,103.0,529.9,2021.0,0.5296717171717172,0.533504016659471,1.125,0.04926457020399075,241,Winter,2019.0,Hard,58
8962,Susan Doldan,F,2001.0,U,3196.4285714285716,13,36,PAR,,1211.5714285714287,2021.0,,,,,49,Summer,2019.0,Clay,26
8963,Susan Salinas,F,2000.0,U,2570.0,0,1,BOL,,,2017.0,,,,,1,,,,0
8964,Susana Alejandra Patino Ramirez,F,2000.0,U,3282.0,0,1,COL,,,2018.0,,,,,1,,,,0
8965,Susana L Alcaraz,F,1991.0,U,2496.0,0,1,MEX,,,2017.0,,,,,1,,,,0
8966,Susanna Ciccone,F,1995.0,R,3423.0,0,1,ITA,,,2019.0,,,,,1,,,,0
8967,Susanna Giovanardi,F,1999.0,U,3309.7,4,6,ITA,,,2021.0,,,,,10,Summer,2021.0,Hard,40
8968,Susanna Pshevorskiy,F,,R,3375.0,0,1,CAN,,,2019.0,,,,,1,,,,0
8969,Susanne Celik,F,1994.0,R,3523.1592920353983,66,47,SWE,93.36363636363636,511.46363636363634,2020.0,0.39494785517512787,0.47605324100170987,1.3636363636363635,0.04430515470188922,113,Summer,2016.0,Hard,58
8970,Suthinan Tanthaseraneewat,M,1996.0,U,2659.0,1,1,THA,61.0,,2016.0,0.38888888888888884,0.5125816993464052,3.0,0.08120915032679739,2,Summer,2016.0,Hard,50
8971,Suzan Lamens,F,1999.0,U,3246.183856502242,127,96,NED,,645.8256410256411,2021.0,,,,,223,Summer,2021.0,Clay,56
8972,Suzanie Pretorius,F,,U,3330.5,0,2,RSA,,,2021.0,,,,,2,,,,0
8973,Suzuho Oshino,F,1996.0,U,3148.96,5,20,JPN,,984.2666666666667,2020.0,,,,,25,Summer,2018.0,Carpet,20
8974,Suzuka Furukawa,F,1994.0,U,2912.0,0,1,JPN,,,2016.0,,,,,1,,,,0
8975,Suzuka Takoi,F,2000.0,U,3066.0,0,2,JPN,,,2018.0,,,,,2,,,,0
8976,Suzura Takaoka,F,,U,2717.0,0,1,JPN,,,2019.0,,,,,1,,,,0
8977,Suzy Larkin,F,1992.0,R,3213.329268292683,39,43,GBR,94.0,739.969696969697,2019.0,0.5625,0.4666666666666667,1.0,0.06666666666666667,82,Summer,2016.0,Hard,47
8978,Sven Lah,M,1998.0,R,3864.0,1,3,SLO,90.25,1896.3333333333333,2019.0,0.4944444444444444,0.5611651512698372,1.0,0.062397032549076414,4,Summer,2017.0,Hard,25
8979,Sven Lemstra,M,2000.0,U,3561.5,0,2,GER,58.5,,2018.0,0.44047619047619047,0.5194444444444445,3.5,0.08888888888888888,2,,,,0
8980,Svenja Ochsner,F,2000.0,R,3289.8267716535433,62,65,SUI,,845.040404040404,2021.0,,,,,127,Winter,2021.0,Clay,48
8981,Svetlana Iansitova,F,2000.0,U,3239.0,14,19,RUS,,1232.25,2020.0,,,,,33,Winter,2019.0,Hard,42
8982,Svetlana Kuznetsova,F,1985.0,R,7177.05,118,82,RUS,103.25510204081633,37.915,2021.0,0.5446362431156087,0.5802203242832433,2.8223350253807107,0.045150788168907045,200,Summer,2016.0,Hard,59
8983,Svetlana Zdorova,F,1995.0,U,3756.0,0,1,RUS,,,2016.0,,,,,1,,,,0
8984,Sveva Bernardi,F,,U,3312.0,0,1,ITA,,,2020.0,,,,,1,,,,0
8985,Sveva Maria Ricci,F,,U,3065.0,0,1,ITA,,,2021.0,,,,,1,,,,0
8986,Sveva Mazzari,F,1994.0,U,3844.5,8,10,ITA,,,2021.0,,,,,18,Winter,2021.0,Clay,44
8987,Sviatlana Pirazhenka,F,1992.0,R,3100.3333333333335,78,69,BLR,91.25,542.0408163265306,2020.0,0.5327380952380951,0.5436762655512655,0.75,0.05120656370656371,147,Summer,2016.0,Clay,53
8988,Swara Kulkarni,F,1998.0,U,2571.0,0,5,IND,,,2017.0,,,,,5,,,,0
8989,Sybille Gauvain,F,1994.0,U,2918.875,8,8,FRA,56.0,,2019.0,0.3333333333333333,0.35,0.0,0.1,16,Summer,2019.0,Hard,50
